Id,Source,Target,Type,Weight,nodes,links
541,MATLAB,Oracle,Directed,2,"opts.GraphNode(name=""Oracle"",symbol_size=2),","opts.GraphLink(source=""MATLAB"", target=""Oracle""),"
542,MATLAB,AI,Directed,2,"opts.GraphNode(name=""AI"",symbol_size=2),","opts.GraphLink(source=""MATLAB"", target=""AI""),"
544,MATLAB,MATLAB,Directed,14,"opts.GraphNode(name=""MATLAB"",symbol_size=14),","opts.GraphLink(source=""MATLAB"", target=""MATLAB""),"
545,MATLAB,Microsoft Office,Directed,2,"opts.GraphNode(name=""Microsoft Office"",symbol_size=2),","opts.GraphLink(source=""MATLAB"", target=""Microsoft Office""),"
546,MATLAB,Excel,Directed,4,"opts.GraphNode(name=""Excel"",symbol_size=4),","opts.GraphLink(source=""MATLAB"", target=""Excel""),"
547,Microsoft Office,Python,Directed,38,"opts.GraphNode(name=""Python"",symbol_size=38),","opts.GraphLink(source=""Microsoft Office"", target=""Python""),"
548,Microsoft Office,SQL,Directed,84,"opts.GraphNode(name=""SQL"",symbol_size=84),","opts.GraphLink(source=""Microsoft Office"", target=""SQL""),"
549,Microsoft Office,R,Directed,162,"opts.GraphNode(name=""R"",symbol_size=162),","opts.GraphLink(source=""Microsoft Office"", target=""R""),"
550,Microsoft Office,Hadoop,Directed,2,"opts.GraphNode(name=""Hadoop"",symbol_size=2),","opts.GraphLink(source=""Microsoft Office"", target=""Hadoop""),"
551,Microsoft Office,Spark,Directed,4,"opts.GraphNode(name=""Spark"",symbol_size=4),","opts.GraphLink(source=""Microsoft Office"", target=""Spark""),"
552,Microsoft Office,Java,Directed,4,"opts.GraphNode(name=""Java"",symbol_size=4),","opts.GraphLink(source=""Microsoft Office"", target=""Java""),"
553,Microsoft Office,Tableau,Directed,52,"opts.GraphNode(name=""Tableau"",symbol_size=52),","opts.GraphLink(source=""Microsoft Office"", target=""Tableau""),"
554,Microsoft Office,SAS,Directed,26,"opts.GraphNode(name=""SAS"",symbol_size=26),","opts.GraphLink(source=""Microsoft Office"", target=""SAS""),"
555,Microsoft Office,Oracle,Directed,10,"opts.GraphNode(name=""Oracle"",symbol_size=10),","opts.GraphLink(source=""Microsoft Office"", target=""Oracle""),"
556,Microsoft Office,Linux,Directed,2,"opts.GraphNode(name=""Linux"",symbol_size=2),","opts.GraphLink(source=""Microsoft Office"", target=""Linux""),"
557,Microsoft Office,AI,Directed,10,"opts.GraphNode(name=""AI"",symbol_size=10),","opts.GraphLink(source=""Microsoft Office"", target=""AI""),"
558,Microsoft Office,Microsoft SQL Server,Directed,4,"opts.GraphNode(name=""Microsoft SQL Server"",symbol_size=4),","opts.GraphLink(source=""Microsoft Office"", target=""Microsoft SQL Server""),"
560,Microsoft Office,MATLAB,Directed,2,"opts.GraphNode(name=""MATLAB"",symbol_size=2),","opts.GraphLink(source=""Microsoft Office"", target=""MATLAB""),"
561,Microsoft Office,Microsoft Office,Directed,174,"opts.GraphNode(name=""Microsoft Office"",symbol_size=174),","opts.GraphLink(source=""Microsoft Office"", target=""Microsoft Office""),"
562,Microsoft Office,Excel,Directed,168,"opts.GraphNode(name=""Excel"",symbol_size=168),","opts.GraphLink(source=""Microsoft Office"", target=""Excel""),"
563,Microsoft Office,MySQL,Directed,2,"opts.GraphNode(name=""MySQL"",symbol_size=2),","opts.GraphLink(source=""Microsoft Office"", target=""MySQL""),"
564,Scripting,Python,Directed,6,"opts.GraphNode(name=""Python"",symbol_size=6),","opts.GraphLink(source=""Scripting"", target=""Python""),"
565,Scripting,SQL,Directed,4,"opts.GraphNode(name=""SQL"",symbol_size=4),","opts.GraphLink(source=""Scripting"", target=""SQL""),"
566,Scripting,R,Directed,8,"opts.GraphNode(name=""R"",symbol_size=8),","opts.GraphLink(source=""Scripting"", target=""R""),"
567,Scripting,Tableau,Directed,4,"opts.GraphNode(name=""Tableau"",symbol_size=4),","opts.GraphLink(source=""Scripting"", target=""Tableau""),"
568,Scripting,SAS,Directed,6,"opts.GraphNode(name=""SAS"",symbol_size=6),","opts.GraphLink(source=""Scripting"", target=""SAS""),"
569,Scripting,Oracle,Directed,2,"opts.GraphNode(name=""Oracle"",symbol_size=2),","opts.GraphLink(source=""Scripting"", target=""Oracle""),"
570,Scripting,Data Warehouse,Directed,2,"opts.GraphNode(name=""Data Warehouse"",symbol_size=2),","opts.GraphLink(source=""Scripting"", target=""Data Warehouse""),"
571,Scripting,Microsoft SQL Server,Directed,2,"opts.GraphNode(name=""Microsoft SQL Server"",symbol_size=2),","opts.GraphLink(source=""Scripting"", target=""Microsoft SQL Server""),"
572,Scripting,Scripting,Directed,8,"opts.GraphNode(name=""Scripting"",symbol_size=8),","opts.GraphLink(source=""Scripting"", target=""Scripting""),"
573,Git,Python,Directed,10,"opts.GraphNode(name=""Python"",symbol_size=10),","opts.GraphLink(source=""Git"", target=""Python""),"
574,Git,SQL,Directed,10,"opts.GraphNode(name=""SQL"",symbol_size=10),","opts.GraphLink(source=""Git"", target=""SQL""),"
575,Git,R,Directed,18,"opts.GraphNode(name=""R"",symbol_size=18),","opts.GraphLink(source=""Git"", target=""R""),"
576,Git,Java,Directed,6,"opts.GraphNode(name=""Java"",symbol_size=6),","opts.GraphLink(source=""Git"", target=""Java""),"
577,Git,Tableau,Directed,2,"opts.GraphNode(name=""Tableau"",symbol_size=2),","opts.GraphLink(source=""Git"", target=""Tableau""),"
578,Git,Oracle,Directed,2,"opts.GraphNode(name=""Oracle"",symbol_size=2),","opts.GraphLink(source=""Git"", target=""Oracle""),"
579,Git,Git,Directed,18,"opts.GraphNode(name=""Git"",symbol_size=18),","opts.GraphLink(source=""Git"", target=""Git""),"
580,Git,Excel,Directed,10,"opts.GraphNode(name=""Excel"",symbol_size=10),","opts.GraphLink(source=""Git"", target=""Excel""),"
581,Git,JavaScript,Directed,4,"opts.GraphNode(name=""JavaScript"",symbol_size=4),","opts.GraphLink(source=""Git"", target=""JavaScript""),"
582,Git,Perl,Directed,2,"opts.GraphNode(name=""Perl"",symbol_size=2),","opts.GraphLink(source=""Git"", target=""Perl""),"
583,Excel,Python,Directed,264,"opts.GraphNode(name=""Python"",symbol_size=264),","opts.GraphLink(source=""Excel"", target=""Python""),"
584,Excel,SQL,Directed,562,"opts.GraphNode(name=""SQL"",symbol_size=562),","opts.GraphLink(source=""Excel"", target=""SQL""),"
585,Excel,Machine Learning,Directed,12,"opts.GraphNode(name=""Machine Learning"",symbol_size=12),","opts.GraphLink(source=""Excel"", target=""Machine Learning""),"
586,Excel,R,Directed,1098,"opts.GraphNode(name=""R"",symbol_size=1098),","opts.GraphLink(source=""Excel"", target=""R""),"
587,Excel,Hadoop,Directed,12,"opts.GraphNode(name=""Hadoop"",symbol_size=12),","opts.GraphLink(source=""Excel"", target=""Hadoop""),"
588,Excel,Spark,Directed,10,"opts.GraphNode(name=""Spark"",symbol_size=10),","opts.GraphLink(source=""Excel"", target=""Spark""),"
589,Excel,Java,Directed,60,"opts.GraphNode(name=""Java"",symbol_size=60),","opts.GraphLink(source=""Excel"", target=""Java""),"
590,Excel,Tableau,Directed,358,"opts.GraphNode(name=""Tableau"",symbol_size=358),","opts.GraphLink(source=""Excel"", target=""Tableau""),"
